[2023-08-10 11:34:04,483][ApicWS10][INFO] starting Render Vault...
[2023-08-10 11:34:25,974][ApicWS10][INFO] initializing maya standalone...
[2023-08-10 11:34:40,755][ApicWS10][INFO] loaded render scene: W:\Ressources\Library\3D_Modelle\_ShaderBall_Maya\_DEV\MaterialDev_REF_ACES.mb
[2023-08-10 11:34:42,259][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Abschatter_innen.mb
[2023-08-10 11:34:42,281][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\akku_sticker_BlendMtl.mb
[2023-08-10 11:34:42,299][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\akku_sticker_mtl.mb
[2023-08-10 11:34:42,317][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Aluminium_matt_mtl.mb
[2023-08-10 11:34:42,336][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Blech_gelb_lackiert.mb
[2023-08-10 11:34:42,352][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Chrom.mb
[2023-08-10 11:34:42,368][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Glas.mb
[2023-08-10 11:34:42,385][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Glas_blurry.mb
[2023-08-10 11:34:42,400][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Gummi.mb
[2023-08-10 11:34:42,419][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Kaercher_HERO_staubgrau_mtl.mb
[2023-08-10 11:34:42,441][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Kaercher_Logo.mb
[2023-08-10 11:34:42,458][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Kaercher_Plastik_basaltgrau_mtl.mb
[2023-08-10 11:34:42,477][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Kaercher_Plastik_basaltgrau_Muster_mtl.mb
[2023-08-10 11:34:42,494][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Kaercher_Plastik_gelb.mb
[2023-08-10 11:34:42,514][ApicWS10][INFO] imported C:\Users\TheApic\Desktop\MaterialPool\Materials\Kaercher_Plastik_gelb_Muster_mtl.mb
